"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"110001 Alta Floresta D'Oeste";-;-;-
"110037 Alto Alegre dos Parecis";-;-;-
"110040 Alto Paraíso";1;1;1
"110034 Alvorada D'Oeste";-;-;-
"110002 Ariquemes";49;49;7
"110045 Buritis";8;8;1
"110003 Cabixi";-;-;-
"110060 Cacaulândia";-;-;-
"110004 Cacoal";59;58;3
"110070 Campo Novo de Rondônia";-;-;-
"110080 Candeias do Jamari";-;-;-
"110090 Castanheiras";1;-;1
"110005 Cerejeiras";-;-;-
"110092 Chupinguaia";-;-;-
"110006 Colorado do Oeste";2;2;2
"110007 Corumbiara";-;-;-
"110008 Costa Marques";-;-;-
"110094 Cujubim";-;-;-
"110009 Espigão D'Oeste";3;3;1
"110100 Governador Jorge Teixeira";1;1;1
"110010 Guajará-Mirim";3;3;2
"110110 Itapuã do Oeste";-;-;-
"110011 Jaru";2;2;1
"110012 Ji-Paraná";22;22;1
"110013 Machadinho D'Oeste";1;1;1
"110120 Ministro Andreazza";-;-;-
"110130 Mirante da Serra";-;-;-
"110140 Monte Negro";-;-;-
"110014 Nova Brasilândia D'Oeste";1;-;1
"110033 Nova Mamoré";2;2;1
"110143 Nova União";1;1;1
"110050 Novo Horizonte do Oeste";-;-;-
"110015 Ouro Preto do Oeste";9;9;1
"110145 Parecis";-;-;-
"110018 Pimenta Bueno";1;1;1
"110146 Pimenteiras do Oeste";1;1;1
"110020 Porto Velho";301;256;24
"110025 Presidente Médici";-;-;-
"110147 Primavera de Rondônia";-;-;-
"110026 Rio Crespo";-;-;-
"110028 Rolim de Moura";1;1;-
"110029 Santa Luzia D'Oeste";1;-;1
"110148 São Felipe D'Oeste";-;-;-
"110149 São Francisco do Guaporé";1;1;1
"110032 São Miguel do Guaporé";-;-;-
"110150 Seringueiras";1;1;1
"110155 Teixeirópolis";1;1;1
"110160 Theobroma";-;-;-
"110170 Urupá";-;-;-
"110175 Vale do Anari";-;-;-
"110180 Vale do Paraíso";1;1;1
"110030 Vilhena";20;19;2
"110000 Município ignorado - RO";-;-;-
"120001 Acrelândia";-;-;-
"120005 Assis Brasil";-;-;-
"120010 Brasiléia";-;-;-
"120013 Bujari";-;-;-
"120017 Capixaba";-;-;-
"120020 Cruzeiro do Sul";16;14;4
"120025 Epitaciolândia";1;1;1
"120030 Feijó";-;-;-
"120032 Jordão";-;-;-
"120033 Mâncio Lima";-;-;-
"120034 Manoel Urbano";-;-;-
"120035 Marechal Thaumaturgo";-;-;-
"120038 Plácido de Castro";1;1;1
"120080 Porto Acre";-;-;-
"120039 Porto Walter";-;-;-
"120040 Rio Branco";128;123;16
"120042 Rodrigues Alves";1;1;1
"120043 Santa Rosa do Purus";-;-;-
"120050 Sena Madureira";1;1;1
"120045 Senador Guiomard";-;-;-
"120060 Tarauacá";2;1;2
"120070 Xapuri";2;2;2
"120000 Município ignorado - AC";-;-;-
"130002 Alvarães";-;-;-
